Date;Date Value;Open;High;Low;Close;Adj Close;Volume
16.12.2016;42720;175.610001;177.039993;173.500000;173.899994;104.758316;50133350
19.12.2016;42723;174.759995;175.550003;173.199997;174.300003;104.999283;34213020
20.12.2016;42724;174.169998;176.860001;173.029999;175.899994;105.963135;31568321
21.12.2016;42725;176.679993;185.339996;174.649994;174.710007;105.246269;92678680
22.12.2016;42726;174.490005;175.350006;170.000000;170.000000;102.408943;67004212
23.12.2016;42727;169.800003;171.759995;168.550003;171.149994;103.101707;37355983
26.12.2016;42730;171.300003;173.199997;171.149994;171.970001;103.595695;21221700
27.12.2016;42731;172.000000;172.699997;170.500000;172.270004;103.776421;19784041
28.12.2016;42732;173.000000;173.630005;170.100006;170.100006;102.469185;37022030
29.12.2016;42733;170.050003;172.220001;167.550003;171.300003;103.192070;49661210
30.12.2016;42734;171.699997;173.250000;170.559998;173.250000;104.366745;35427288
03.01.2017;42738;173.399994;181.679993;173.000000;180.119995;108.505280;53895668
04.01.2017;42739;178.899994;179.410004;174.229996;175.949997;105.993256;41400772
05.01.2017;42740;176.309998;177.279999;171.539993;171.899994;103.553505;35093060
06.01.2017;42741;172.399994;173.750000;169.500000;170.690002;102.824608;35415591
09.01.2017;42744;171.369995;172.389999;168.050003;168.350006;101.414986;35187382
10.01.2017;42745;168.350006;172.300003;167.539993;171.600006;103.372787;58874130
11.01.2017;42746;171.500000;173.050003;168.539993;169.050003;101.836655;52772840
12.01.2017;42747;170.000000;170.649994;168.020004;168.270004;101.366776;49855540
13.01.2017;42748;168.789993;172.389999;163.880005;164.899994;99.336662;85990670
16.01.2017;42751;165.220001;166.800003;164.059998;164.660004;99.192093;37577470
17.01.2017;42752;164.669998;166.470001;163.339996;165.979996;99.987267;45968312
18.01.2017;42753;165.899994;167.800003;164.309998;165.240005;99.541489;42479950
19.01.2017;42754;165.460007;166.990005;164.690002;166.300003;100.180038;38479340
20.01.2017;42755;166.550003;168.190002;165.419998;167.490005;100.896904;32581560
23.01.2017;42758;167.330002;167.330002;164.529999;166.750000;100.451118;36457570
24.01.2017;42759;167.369995;170.699997;167.240005;170.250000;102.559540;45397960
25.01.2017;42760;170.500000;171.300003;169.500000;170.259995;102.565559;42544580
26.01.2017;42761;170.850006;174.389999;169.059998;173.789993;104.692062;56105000
27.01.2017;42762;173.889999;178.919998;173.000000;178.919998;107.782394;71123150
30.01.2017;42765;177.500000;178.000000;174.240005;174.600006;105.180000;45935720
31.01.2017;42766;174.369995;175.270004;172.070007;172.199997;103.734230;46486780
01.02.2017;42767;172.589996;174.270004;171.750000;173.899994;104.758316;42253259
02.02.2017;42768;173.940002;174.690002;171.949997;172.830002;104.113739;31064930
03.02.2017;42769;173.029999;174.190002;172.270004;173.800003;104.698082;34745010
06.02.2017;42772;174.710007;174.979996;172.220001;172.869995;104.137840;33944743
07.02.2017;42773;173.000000;174.179993;171.509995;173.470001;104.499283;33506030
08.02.2017;42774;173.199997;173.199997;170.770004;171.199997;103.131836;33314367
09.02.2017;42775;171.910004;172.669998;167.839996;168.800003;101.686058;48732000
10.02.2017;42776;169.050003;170.449997;165.399994;165.500000;99.698112;59337102
13.02.2017;42779;166.050003;167.050003;163.500000;164.699997;99.216194;53028392
14.02.2017;42780;164.990005;165.139999;162.009995;162.699997;98.011375;54466800
15.02.2017;42781;162.270004;165.570007;160.000000;163.500000;98.493309;68809530
16.02.2017;42782;164.399994;166.500000;162.210007;166.490005;100.294510;44328983
17.02.2017;42783;166.479996;167.119995;164.419998;165.490005;99.692093;32616910
20.02.2017;42786;166.399994;166.690002;163.929993;165.440002;99.661964;26986371
21.02.2017;42787;165.110001;168.380005;164.800003;167.000000;100.601723;39649889
22.02.2017;42788;167.500000;168.300003;164.350006;165.899994;99.939072;40663164
24.02.2017;42790;166.529999;168.020004;165.029999;165.509995;99.704124;29704825
27.02.2017;42793;166.009995;166.339996;160.619995;160.949997;96.957161;41947389
28.02.2017;42794;161.050003;161.190002;155.699997;156.000000;93.975266;67919290
01.03.2017;42795;155.649994;160.919998;155.649994;160.000000;96.384880;62259015
02.03.2017;42796;161.389999;164.300003;160.330002;163.399994;98.433060;65453580
03.03.2017;42797;162.949997;164.889999;161.610001;164.399994;99.035469;38243210
06.03.2017;42800;164.500000;165.990005;162.000000;162.000000;97.589699;36845090
07.03.2017;42801;162.410004;162.410004;158.899994;160.979996;96.975250;44867012
09.03.2017;42803;159.220001;160.839996;155.229996;156.199997;94.095749;63698320
10.03.2017;42804;157.320007;159.399994;155.550003;157.500000;94.878868;51297761
13.03.2017;42807;157.490005;159.869995;155.860001;158.919998;95.734283;34087371
14.03.2017;42808;159.500000;160.750000;157.020004;157.419998;94.830681;59200295
15.03.2017;42809;158.050003;159.669998;156.059998;156.199997;94.095749;48858401
16.03.2017;42810;157.820007;159.850006;157.820007;158.350006;95.390923;68322522
17.03.2017;42811;158.550003;162.850006;158.169998;161.149994;97.077644;65470090
20.03.2017;42814;161.570007;164.050003;160.610001;163.800003;98.674042;41497340
21.03.2017;42815;164.500000;165.490005;162.250000;162.979996;98.180046;39831930
22.03.2017;42816;162.009995;162.919998;159.750000;162.919998;98.143898;40877370
23.03.2017;42817;163.500000;164.839996;162.100006;164.149994;98.884857;38722221
24.03.2017;42818;164.000000;165.899994;163.070007;164.520004;99.107765;33041262
27.03.2017;42821;163.029999;163.369995;161.100006;162.690002;98.005356;35418714
28.03.2017;42822;163.500000;164.100006;162.050003;163.660004;98.589699;30489220
29.03.2017;42823;164.000000;164.899994;162.369995;163.220001;98.324615;26161370
30.03.2017;42824;163.320007;164.100006;161.899994;163.500000;98.493309;24411750
31.03.2017;42825;163.399994;163.699997;159.509995;159.800003;96.264404;31639980
03.04.2017;42828;160.770004;162.940002;159.839996;161.800003;97.469215;32726450
04.04.2017;42829;161.369995;163.949997;160.699997;163.500000;98.493309;23333240
05.04.2017;42830;164.330002;168.449997;163.820007;168.100006;101.264381;57753880
06.04.2017;42831;167.539993;168.190002;166.410004;167.490005;100.896904;24424520
07.04.2017;42832;166.119995;166.839996;160.710007;161.490005;97.282478;59739011
10.04.2017;42835;159.259995;159.860001;154.509995;155.199997;93.493332;73718431
11.04.2017;42836;155.199997;158.589996;154.610001;156.000000;93.975266;53342102
12.04.2017;42837;157.000000;157.440002;150.279999;150.279999;90.529510;53279801
13.04.2017;42838;151.570007;153.350006;149.699997;152.000000;91.565643;70013641
14.04.2017;42839;150.419998;152.250000;148.600006;149.240005;89.903000;25092430
17.04.2017;42842;149.440002;154.199997;147.619995;153.990005;92.764427;48418110
18.04.2017;42843;154.440002;155.589996;152.149994;153.399994;92.409004;60882607
19.04.2017;42844;153.179993;155.380005;152.360001;153.600006;92.529495;38965390
20.04.2017;42845;153.000000;158.399994;152.259995;158.210007;95.306580;64127431
21.04.2017;42846;158.740005;160.300003;157.800003;159.589996;96.137894;57187320
24.04.2017;42849;161.089996;163.429993;161.000000;162.500000;97.890892;48021400
25.04.2017;42850;163.000000;163.529999;161.309998;162.550003;97.921021;40534610
26.04.2017;42851;163.080002;165.800003;161.699997;165.050003;99.427025;49261630
27.04.2017;42852;164.990005;165.789993;163.270004;164.690002;99.210159;43712421
28.04.2017;42853;165.500000;166.000000;163.910004;165.199997;99.517380;40999810
02.05.2017;42857;166.000000;168.339996;165.009995;166.639999;100.384857;42498185
